random_creation_rate,mutation_rate,crossover_rate,elite_rate,population_size,percentage_of_log,generator,mutator,objective,tournament_size
0.2970735336424455,0.31371790155956003,0.5577278762946293,0.05181324827637945,98,0.019113365444355494,Sequential,NonTournament,138.5331434647245,
0.9507012122943189,0.8509282215170776,0.31641975840477155,0.4939172730765933,33,0.3271533032991454,Sequential,Tournament,142.44846204730982,0.3879228227218659
0.3604668638635137,0.9822353660411453,0.022209476464596256,0.7926242912389047,88,0.4275416237845578,Buttom,NonTournament,122.18996579554064,
0.04382084634266481,0.7972753332590753,0.0621810765949562,0.8295032087019942,66,0.41609725467325,Sequential,NonTournament,127.84330362662001,
0.332237724507789,0.7869170879002502,0.5988809542800173,0.6476695484215739,22,0.017407941494513846,Sequential,NonTournament,143.96597941269124,
