random_creation_rate,mutation_rate,crossover_rate,elite_rate,population_size,percentage_of_log,generator,mutator,tournament_size,objective
0.4217975157171704,0.4707698642703084,0.6691876488101066,0.21799367090376542,67,0.42725304787349516,Buttom,Tournament,0.42155721628667914,172.50563445337596
0.06547750891953186,0.21428715599784942,0.48841098100408464,0.5997289994431247,81,0.43521682869080586,Buttom,NonTournament,,178.0705870375603
0.03980867311008074,0.6943869744574969,0.4608499349257734,0.0605266469020731,95,0.2867812224250412,Sequential,NonTournament,,176.84084241199662
0.2167384664449532,0.3388377828961684,0.49810637109976486,0.2643207876499517,59,0.383434200585695,Buttom,Tournament,0.33130319878205094,173.10280092954017
0.032017430238910904,0.30337736440343244,0.24879330153665558,0.6486209166265124,42,0.435275682551285,Sequential,NonTournament,,172.92838746097328
