Dataset,Discovery Method,Model,Log Fitness,Precision,F1 Score,Objective Fitness,Generalization,Simplicity,Time (s)
Sepsis,GTM-60,0,0.9829257669093399,0.9943181818181818,0.988589154155223,94.15083380001244,0.9422808024297246,0.6875,48.426472902297974
Sepsis,GTM-60,1,0.9758196831544689,0.9943181818181818,0.9849820871799904,94.80234779408707,0.9385001025339467,0.8181818181818181,58.919820070266724
Sepsis,GTM-60,2,0.9838832951184661,0.9943181818181818,0.9890732167872147,94.354479441238,0.9426715232150324,0.7230769230769232,60.002997159957886
Sepsis,GTM-60,3,0.9810437422663316,0.9943181818181818,0.9876363599004246,94.42311187820685,0.9367880581666342,0.7241379310344828,35.99842977523804
Sepsis,GTM-60,4,0.9737940549920645,0.9943181818181818,0.9839491022060224,93.86222260970632,0.9451679050186316,0.7647058823529413,60.00610423088074
2020-ptc,GTM-60,0,0.9886191422779429,0.9836467702371219,0.9861266882174179,92.52572607466934,0.9244118563582784,0.6585365853658536,60.00389385223389
2020-ptc,GTM-60,1,0.9763258341191792,0.9993400428972117,0.9876988941305908,92.36206676336711,0.9193939953358748,0.6065573770491803,48.88110280036926
2020-ptc,GTM-60,2,0.9721920464582677,0.9981872116018458,0.9850181522425099,92.18414429080347,0.9204850173736534,0.652892561983471,60.00266981124878
2020-ptc,GTM-60,3,0.977960537224341,0.9993400428972117,0.9885347074155751,92.1961385958946,0.9274057163085104,0.6417910447761194,39.51664924621582
2020-ptc,GTM-60,4,0.9754955417281417,0.999252150068553,0.9872309475315878,92.16003389615598,0.9062092758067929,0.6307692307692307,60.00359511375427
2012,GTM-60,0,0.9085051086072382,0.8900097476934237,0.8991623279141183,84.69152314692113,0.9754440448269827,0.7094017094017093,60.003095865249634
2012,GTM-60,1,0.9162463684978421,0.9974467436454404,0.9551238396960972,89.07816926258704,0.8736213287798346,0.7142857142857143,60.016377210617065
2012,GTM-60,2,0.8648986963590082,0.844326430227117,0.8544887591998456,80.39469382972635,0.9279059227915567,0.6842105263157894,60.02373695373535
2012,GTM-60,3,0.9374318452471508,0.75,0.8333064069113701,83.1621780563715,0.8469025737816349,0.6991150442477876,60.0365686416626
2012,GTM-60,4,0.941801373698516,0.6655309194467046,0.7799232764087972,84.11352190117573,0.9048151309152602,0.6592592592592593,60.04615616798401
RTF,GTM-60,0,0.9513073167606829,0.9995052285998485,0.9748108698284692,94.00118470046408,0.9883458277750286,0.7959183673469388,9.856948137283325
RTF,GTM-60,1,0.9480800569212054,0.9965384553828848,0.9717054831326551,94.1598245474664,0.9903602182101713,0.8095238095238095,9.136512756347656
RTF,GTM-60,2,0.8770328363513342,0.9962530604176806,0.9328492237184154,91.09663545260378,0.9874029834859399,0.8181818181818181,9.734137058258057
RTF,GTM-60,3,0.9036296990176098,0.9222938988141345,0.9128664081901982,88.97614790651161,0.988625908659261,0.7777777777777779,6.0097339153289795
RTF,GTM-60,4,0.951169309789827,0.9999055450246165,0.9749287319953057,94.33503191126809,0.9904837739441688,0.8181818181818181,4.419008016586304
2017,GTM-60,0,0.9698280955105563,0.9489662234403,0.959283750314796,90.62322526171735,0.988227382428566,0.641025641025641,60.024994134902954
2017,GTM-60,1,0.9807252399435171,0.24552766309229135,0.3927333027352301,79.33650113863597,0.986876255626209,0.6176470588235294,60.017727851867676
2017,GTM-60,2,0.9377290983449773,0.9028884176743653,0.9199790118731093,87.55847330113835,0.9502210278340788,0.6585365853658536,60.02336883544922
2017,GTM-60,3,0.9674202071365854,0.6220620897290361,0.7572219418664698,80.32824980192834,0.9871304020488256,0.6692913385826772,60.0113000869751
2017,GTM-60,4,0.9897465396698252,0.8033678656704921,0.8868709801909083,87.71143987668295,0.9885343475896884,0.6923076923076922,60.01590085029602
2020-rfp,GTM-60,0,0.9888043087145328,1.0,0.9943706420805657,93.56674604797155,0.8938999941246634,0.6326530612244898,13.68102216720581
2020-rfp,GTM-60,1,0.9878069726582768,1.0,0.9938660908682609,93.61140126449278,0.8912071079994358,0.6421052631578946,14.96566891670227
2020-rfp,GTM-60,2,0.9873707700234643,1.0,0.9936452572579667,93.53875126713066,0.8885580223050501,0.6170212765957447,10.173666715621948
2020-rfp,GTM-60,3,0.9858337508028927,1.0,0.9928663468473231,93.51274017172358,0.8908619585060285,0.6421052631578946,20.212505102157593
2020-rfp,GTM-60,4,0.9817198128795519,1.0,0.9907755945105651,93.38599064397759,0.8754626359203819,0.6000000000000001,12.23561716079712
2020-dd,GTM-60,0,0.9773819895597982,0.9732806613994733,0.9753270138953978,92.15933249638833,0.916422384648502,0.7297297297297298,13.286964893341064
2020-dd,GTM-60,1,0.9483597516867314,0.999904770974193,0.9734504008894282,91.39608309451472,0.9064257133670397,0.6380952380952382,11.237435102462769
2020-dd,GTM-60,2,0.984217736503107,0.9977199315979479,0.990922841364856,93.70915143976046,0.8920188814464509,0.6666666666666666,16.93757390975952
2020-dd,GTM-60,3,0.9633603577897427,0.9987500781201175,0.9807360635683725,92.61951907589479,0.8981995281379948,0.6888888888888889,17.99089503288269
2020-dd,GTM-60,4,0.9856085006309818,0.9330173256901364,0.9585921286168209,91.49720469633132,0.9161215212094386,0.7090909090909091,13.449157953262329
2020-id,GTM-60,0,0.9650660340732549,0.5402824818044245,0.6927409387190968,80.75431274819599,0.9316043813100561,0.6421052631578946,60.03133487701416
2020-id,GTM-60,1,0.9250260684941451,0.7651012212113761,0.837497363622288,80.86855126941839,0.9007590706881343,0.6684491978609626,60.02329921722412
