random_creation_rate,elite_rate,population_size,generator,tournament_size,tournament_rate,tournament_mutation_rate,objective,dataset,log_filtering
0.0855706284780056,0.4459993882603457,46,FootprintGuidedSequentialGenerator,0.2125636641687841,0.9079792748852232,0.7698762222227802,80.33410477045541,2020-pl,
0.0037464486750403,0.2402623395255745,56,FootprintGuidedSequentialGenerator,0.2461609637767825,0.7671568405391695,0.8669604093317366,95.70106296453856,2013-i,
0.4178332471428713,0.8187493555656555,40,InductiveNoiseInjectionGenerator,0.2852989098110776,0.1175117323080816,0.0475847687185885,70.27301008719502,Nasa,0.0775776135500614
0.8991016918283222,0.0703382774871219,52,InductiveNoiseInjectionGenerator,0.2514843858953189,0.9683011119286026,0.8961373506899141,96.1607728167027,2013-cp,0.0575073215482811
0.3617383745005603,0.4888145681543333,56,InductiveNoiseInjectionGenerator,0.2693785980886742,0.1711173259284866,0.3375295961409265,68.18725526584025,2019,0.0060579541730998
0.6595642674001615,0.2286656684642815,39,BottomUpRandomBinaryGenerator,0.1428179048793157,0.8593179962361761,0.8657232728616838,96.34227682623752,2013-op,
0.3242375371619366,0.3230290393914801,48,InductiveNoiseInjectionGenerator,0.2309631119188765,0.5198859719140462,0.2685509978001388,70.11664873501277,2017,0.0004890097295015
0.0188326052375964,0.5213494384358481,40,BottomUpRandomBinaryGenerator,0.2738413234377569,0.9723745595528872,0.9847848492277456,93.7458441336404,2020-ptc,
0.0105442011552922,0.8891092415886873,37,InductiveNoiseInjectionGenerator,0.1836733254579149,0.9825154864897768,0.9733079674578718,89.25685222732051,2012,0.0024857807729153
0.0370257830645317,0.4223250831680412,47,InductiveNoiseInjectionGenerator,0.2630269346077433,0.3806907607859995,0.7094612860378964,95.8625278275762,RTF,0.0588861650047994
0.3905563559432317,0.9856047055966304,57,InductiveNoiseInjectionGenerator,0.2504064787563428,0.9992400718711444,0.8321919296308427,94.68542406118,Sepsis,0.0762046996526118
0.0473986593913063,0.8574913171195075,23,FootprintGuidedSequentialGenerator,0.2443953568323953,0.9211369937264278,0.8927440782659939,90.45070367423016,2020-id,
0.1077304140915235,0.9483131948264184,48,BottomUpRandomBinaryGenerator,0.2888097685416959,0.6713501762403956,0.5587710419256677,94.27188079253722,2020-rfp,
0.2119423396444145,0.2897428660091965,47,InductiveNoiseInjectionGenerator,0.1788307285096315,0.928801399484426,0.8312827817713918,94.69266470281624,2020-dd,0.0762266654855724
