Dataset,model,Replay Fitness,Precision,F1 Score,Objective Fitness,Generalization,Simplicity,Refined Simplicity,time
2012,0,0.9450362539135372,0.8151484075693665,0.8752999777011424,84.04997196421215,0.9367653907237604,0.6799999999999999,0.5700000000000001,300.1851830482483
2012,1,0.8768905369338664,0.5753297800094663,0.694799864483965,76.05384140339832,0.9668709292243024,0.6815286624203822,0.54,300.5440948009491
2012,2,0.9646089225580552,0.4185146146673694,0.5837554212097751,73.99811315810159,0.961896273178844,0.6541353383458647,0.65,300.328430891037
2012,3,0.9497118555933136,0.6105494041475087,0.7432678391830886,78.05078894512766,0.928857981771347,0.6592592592592593,0.62,300.07192611694336
2012,4,0.9301227287109782,0.6221503627397826,0.7455855496653858,78.63660693364153,0.9118030356010152,0.6610169491525424,0.6799999999999999,300.47442984580994
2020-ptc,0,0.9889248519276924,1.0,0.9944315904838872,93.01347647544802,0.9250515314626424,0.6451612903225807,0.71,173.63108801841736
2020-ptc,1,0.977351034471497,0.9988757026858214,0.9879961473780182,91.95509939989418,0.9301898181737562,0.7021276595744681,0.61,111.54149603843688
2020-ptc,2,0.978178360846796,1.0,0.9889688212220344,92.94737958080134,0.9130938940238474,0.6538461538461539,0.75,135.3202269077301
2020-ptc,3,0.966234824095264,0.9970348406226834,0.9813932351308554,91.74818324884052,0.9246253946020596,0.6825396825396826,0.6699999999999999,78.27462720870972
2020-ptc,4,0.9725204713598514,0.9981872116018458,0.985186698083493,92.84736807138776,0.9155137396569312,0.7475728155339807,0.6799999999999999,111.59054684638976
2013-op,0,0.9737892496008516,0.9970243630277106,0.98526983991307,95.64930847703822,0.9550940235716442,0.7599999999999999,0.92,1.813640832901001
2013-op,1,0.9737892496008516,0.9970243630277106,0.98526983991307,95.64930847703822,0.9550940235716442,0.7599999999999999,0.92,1.8354289531707764
2013-op,2,0.9742869260947936,0.9970243630277106,0.9855245158447652,95.6238639791841,0.9573767861794144,0.7333333333333333,0.91,2.336226224899292
2013-op,3,0.9737892496008516,0.9970243630277106,0.98526983991307,95.64930847703822,0.9550940235716442,0.7599999999999999,0.92,1.9978840351104736
2013-op,4,0.9831074347219454,0.968213728549142,0.9756037425852282,95.19667114812655,0.9647288749788616,0.7777777777777779,0.91,2.495404005050659
RTF,0,0.9551645048161016,0.9994208484248108,0.9767916435122412,94.75457363608449,0.9904993739665,0.853658536585366,0.84,195.367995262146
RTF,1,0.9915871599791318,0.9999814601835812,0.9957666194340926,95.35253184112398,0.9908270724900216,0.7142857142857143,0.86,279.3672740459442
RTF,2,0.9488159667058628,0.9999595045673064,0.9737166317809732,94.55152016293316,0.9903879804615496,0.853658536585366,0.84,300.0924348831177
RTF,3,0.9471419641362048,0.9996945820577712,0.9727089742974022,94.11234066492942,0.9893123460122158,0.8823529411764706,0.86,300.0151278972626
RTF,4,0.9446392565366212,0.9996958301469628,0.9713880413108736,94.73563314529768,0.9897052408154866,0.8888888888888888,0.85,300.05085015296936
2020-dd,0,0.9767776571581608,0.9979095400988216,0.9872305284477464,93.71902620372984,0.8860707636125785,0.7142857142857143,0.78,53.50580096244812
2020-dd,1,0.9723941885431012,0.999904770974193,0.9859576142856046,94.34397120044864,0.8576105427942414,0.7627118644067797,0.81,74.75061297416687
2020-dd,2,0.950651173607535,0.996412725384688,0.9729941860405472,93.7456300970898,0.8616969200828999,0.8620689655172413,0.77,89.85673379898071
2020-dd,3,0.9858880135932536,0.9971515381693884,0.991487787869341,93.57258318838068,0.8926002234287584,0.6363636363636362,0.8,56.95152401924133
2020-dd,4,0.979282988512124,0.8824733824733825,0.9283611805915116,89.57201426614431,0.9037613767001036,0.6633663366336633,0.75,52.43889689445496
2020-id,0,0.9315399375562776,0.9210919727006824,0.926286494346492,85.77204654191314,0.9300959920998926,0.6595744680851063,0.52,300.01523184776306
2020-id,1,0.9305801835361014,0.4565086466488858,0.6125316431647454,73.69196208419804,0.935979074512333,0.675,0.56,300.029794216156
2020-id,2,0.9504283176985632,0.9987610345361624,0.9739954394361688,88.51010217846574,0.9097460033750748,0.6481481481481483,0.47,300.0860278606415
2020-id,3,0.9519683731875024,0.9987610345361624,0.97480348990068,87.86885177680385,0.924736979164812,0.6363636363636362,0.43,300.0149140357971
2020-id,4,0.9104614095670012,0.9987610345361624,0.9525693374629692,85.81226774304976,0.887549881700792,0.6816326530612246,0.35,300.0514690876007
2017,0,0.8802730960088437,0.5565564396762218,0.6819482034434341,69.10674776817606,0.9456273167875792,0.6852791878172589,0.39,302.90535616874695
2017,1,0.9707724057298,0.4335512867029838,0.5994054331886888,69.67598116178995,0.9455958377953716,0.6759776536312848,0.4599999999999999,303.7725439071655
2017,2,0.980513593476997,0.512315022300273,0.672993320464104,73.13772467364022,0.9290010589731432,0.6822429906542056,0.38,302.40651416778564
2017,3,0.9812484497785504,0.2794341433420173,0.4349934257295304,68.5857452657871,0.9574844597017834,0.6767676767676768,0.42,302.1466178894043
2017,4,0.9214050595741284,0.4529473576139955,0.6073376548937086,68.73917045132426,0.8905516801213588,0.6842105263157894,0.39,301.4920928478241
2019,0,0.8891289601235923,0.5011948547715299,0.6410403896820551,65.28787222236808,0.9152208167261514,0.6140350877192983,0.17,301.0817451477051
2019,1,0.99633705827613,0.4184436453317195,0.5893647115499613,65.12944620935987,0.9283423221915988,0.6026936026936026,0.31,300.06571984291077
2019,2,0.9931352792076492,0.3797814371003707,0.549449706733614,65.21485035919234,0.9261490441544548,0.6057347670250895,0.37,301.62325501441956
