metric,dataset,weight_share,value
ftr_precision,2020-id,0.25,0.9584557623245185
ftr_precision,2020-id,0.4,0.968864881086353
ftr_precision,2020-id,0.55,0.9700445284037242
ftr_precision,2020-id,0.7,0.9406359393232205
ftr_precision,2020-id,0.85,1.0
ftr_fitness,2020-id,0.25,0.8666232618704367
ftr_fitness,2020-id,0.4,0.9671055182077649
ftr_fitness,2020-id,0.55,0.9860334983528187
ftr_fitness,2020-id,0.7,0.9962526963044729
ftr_fitness,2020-id,0.85,0.9962282141057532
simplicity,2020-id,0.25,0.8018018018018017
simplicity,2020-id,0.4,0.7520661157024793
simplicity,2020-id,0.55,0.8666666666666667
simplicity,2020-id,0.7,0.9726027397260274
simplicity,2020-id,0.85,0.8317757009345794
refined_simplicity,2020-id,0.25,0.74
refined_simplicity,2020-id,0.4,0.84
refined_simplicity,2020-id,0.55,0.89
refined_simplicity,2020-id,0.7,0.84
refined_simplicity,2020-id,0.85,0.9299999999999999
ftr_precision,2013-i,0.25,0.9637329637329637
ftr_precision,2013-i,0.4,0.9861443766257179
ftr_precision,2013-i,0.55,0.9861443766257179
ftr_precision,2013-i,0.7,0.9861443766257179
ftr_precision,2013-i,0.85,0.9968582612278534
ftr_fitness,2013-i,0.25,0.9031036618894821
ftr_fitness,2013-i,0.4,0.9859031042296512
ftr_fitness,2013-i,0.55,0.9859031042296512
ftr_fitness,2013-i,0.7,0.9743704124254836
ftr_fitness,2013-i,0.85,0.9980834689951161
simplicity,2013-i,0.25,1.0
simplicity,2013-i,0.4,1.0
simplicity,2013-i,0.55,1.0
simplicity,2013-i,0.7,1.0
simplicity,2013-i,0.85,1.0
refined_simplicity,2013-i,0.25,0.94
refined_simplicity,2013-i,0.4,0.94
refined_simplicity,2013-i,0.55,0.95
refined_simplicity,2013-i,0.7,0.95
refined_simplicity,2013-i,0.85,0.95
ftr_precision,2020-pl,0.25,0.9983043662568886
ftr_precision,2020-pl,0.4,0.9983043662568886
ftr_precision,2020-pl,0.55,0.9983043662568886
ftr_precision,2020-pl,0.7,0.9913298839323171
ftr_precision,2020-pl,0.85,0.9983043662568886
ftr_fitness,2020-pl,0.25,0.9187510074972536
ftr_fitness,2020-pl,0.4,0.9745700329869367
ftr_fitness,2020-pl,0.55,0.9692252989220569
ftr_fitness,2020-pl,0.7,0.9528204859613064
ftr_fitness,2020-pl,0.85,0.9964512659477849
simplicity,2020-pl,0.25,0.7516339869281047
simplicity,2020-pl,0.4,0.7090909090909091
simplicity,2020-pl,0.55,0.6916299559471366
simplicity,2020-pl,0.7,0.7641025641025639
simplicity,2020-pl,0.85,0.8100558659217877
refined_simplicity,2020-pl,0.25,0.83
refined_simplicity,2020-pl,0.4,0.78
refined_simplicity,2020-pl,0.55,0.73
refined_simplicity,2020-pl,0.7,0.91
refined_simplicity,2020-pl,0.85,0.9299999999999999
ftr_precision,2013-op,0.25,0.9943203332071185
ftr_precision,2013-op,0.4,0.9943203332071185
ftr_precision,2013-op,0.55,1.0
ftr_precision,2013-op,0.7,0.9997098084735926
ftr_precision,2013-op,0.85,0.9997098084735926
ftr_fitness,2013-op,0.25,0.9030105777054516
ftr_fitness,2013-op,0.4,0.9417093813326975
ftr_fitness,2013-op,0.55,1.0
ftr_fitness,2013-op,0.7,1.0
ftr_fitness,2013-op,0.85,1.0
simplicity,2013-op,0.25,1.0
simplicity,2013-op,0.4,1.0
simplicity,2013-op,0.55,1.0
simplicity,2013-op,0.7,1.0
simplicity,2013-op,0.85,1.0
refined_simplicity,2013-op,0.25,0.95
refined_simplicity,2013-op,0.4,0.95
refined_simplicity,2013-op,0.55,0.95
refined_simplicity,2013-op,0.7,0.95
refined_simplicity,2013-op,0.85,0.97
ftr_precision,2019,0.25,0.9984008152123383
ftr_precision,2019,0.4,0.9997631672297909
ftr_precision,2019,0.55,0.9151631803557471
ftr_precision,2019,0.7,0.9995191247187541
ftr_precision,2019,0.85,0.9995191247187541
ftr_fitness,2019,0.25,0.8853992523271306
ftr_fitness,2019,0.4,0.9582468958150001
ftr_fitness,2019,0.55,0.997834776151508
ftr_fitness,2019,0.7,0.998934634683337
ftr_fitness,2019,0.85,0.9995823195085642
simplicity,2019,0.25,0.6647398843930635
simplicity,2019,0.4,0.710691823899371
simplicity,2019,0.55,0.8214285714285714
simplicity,2019,0.7,1.0
simplicity,2019,0.85,0.8512396694214877
refined_simplicity,2019,0.25,0.77
refined_simplicity,2019,0.4,0.8200000000000001
refined_simplicity,2019,0.55,0.8200000000000001
refined_simplicity,2019,0.7,0.88
refined_simplicity,2019,0.85,0.9299999999999999
ftr_precision,2013-cp,0.25,0.9993279569892473
ftr_precision,2013-cp,0.4,0.9920634920634921
ftr_precision,2013-cp,0.55,0.9988879621907145
ftr_precision,2013-cp,0.7,0.9993279569892473
ftr_precision,2013-cp,0.85,0.9993279569892473
ftr_fitness,2013-cp,0.25,0.8330408073716542
ftr_fitness,2013-cp,0.4,0.9143856198437414
ftr_fitness,2013-cp,0.55,0.9919450751432587
ftr_fitness,2013-cp,0.7,0.9959784936836124
ftr_fitness,2013-cp,0.85,0.9999294134255664
simplicity,2013-cp,0.25,1.0
simplicity,2013-cp,0.4,1.0
simplicity,2013-cp,0.55,1.0
simplicity,2013-cp,0.7,1.0
simplicity,2013-cp,0.85,1.0
refined_simplicity,2013-cp,0.25,0.95
refined_simplicity,2013-cp,0.4,0.94
refined_simplicity,2013-cp,0.55,0.95
refined_simplicity,2013-cp,0.7,0.95
refined_simplicity,2013-cp,0.85,0.96
ftr_precision,Sepsis,1.0,0.9943181818181818
ftr_fitness,Sepsis,1.0,0.999894502005618
simplicity,Sepsis,1.0,1.0
refined_simplicity,Sepsis,1.0,0.96
ftr_precision,2020-ptc,1.0,1.0
ftr_fitness,2020-ptc,1.0,0.9985530040584935
simplicity,2020-ptc,1.0,1.0
refined_simplicity,2020-ptc,1.0,0.96
ftr_precision,2012,1.0,1.0
ftr_fitness,2012,1.0,0.9852977303920103
simplicity,2012,1.0,1.0
refined_simplicity,2012,1.0,0.97
ftr_precision,RTF,1.0,1.0
ftr_fitness,RTF,1.0,0.9813003287119141
simplicity,RTF,1.0,1.0
refined_simplicity,RTF,1.0,0.98
ftr_precision,2017,1.0,0.8033678656704921
ftr_fitness,2017,1.0,0.999099988041817
simplicity,2017,1.0,1.0
refined_simplicity,2017,1.0,0.97
ftr_precision,2020-rfp,1.0,1.0
ftr_fitness,2020-rfp,1.0,0.9999257120558815
simplicity,2020-rfp,1.0,1.0
refined_simplicity,2020-rfp,1.0,0.97
ftr_precision,2020-dd,1.0,0.999904770974193
ftr_fitness,2020-dd,1.0,0.999983271868172
simplicity,2020-dd,1.0,1.0
refined_simplicity,2020-dd,1.0,0.96
ftr_precision,2020-id,1.0,0.9987242728355162
ftr_fitness,2020-id,1.0,0.9978787534139859
simplicity,2020-id,1.0,1.0
refined_simplicity,2020-id,1.0,0.86
ftr_precision,2013-i,1.0,0.9999283051333524
ftr_fitness,2013-i,1.0,0.999980852082336
simplicity,2013-i,1.0,1.0
refined_simplicity,2013-i,1.0,0.98
ftr_precision,2020-pl,1.0,0.9983043662568886
ftr_fitness,2020-pl,1.0,0.996645361495838
simplicity,2020-pl,1.0,1.0
refined_simplicity,2020-pl,1.0,0.94
ftr_precision,2013-op,1.0,1.0
ftr_fitness,2013-op,1.0,1.0
simplicity,2013-op,1.0,1.0
refined_simplicity,2013-op,1.0,0.98
ftr_precision,2019,1.0,0.9985103504202311
ftr_fitness,2019,1.0,0.9989358886379363
simplicity,2019,1.0,0.8136645962732918
refined_simplicity,2019,1.0,0.92
ftr_precision,2013-cp,1.0,1.0
ftr_fitness,2013-cp,1.0,1.0
simplicity,2013-cp,1.0,1.0
refined_simplicity,2013-cp,1.0,0.98
