simplicity,refined_simplicity,ftr_fitness,ftr_precision,generation,objective_fitness
6.3478260869565215,7.0,48.461519008856506,14.197206860999156,0,76.00655195681219
6.428571428571429,7.1,47.42547352652624,29.829545454545453,1,90.78359040964312
6.428571428571429,7.1,47.42547352652624,29.829545454545453,2,90.78359040964312
6.428571428571429,7.1,47.42547352652624,29.829545454545453,3,90.86078590958651
6.470588235294118,6.8999999999999995,48.129910790261285,29.829545454545453,4,91.33004448010085
6.470588235294118,6.8999999999999995,48.27770254656737,29.829545454545453,5,91.47504977567107
6.470588235294118,6.8999999999999995,48.508535335019815,29.829545454545453,6,91.70866902485939
6.2264150943396235,7.5,48.6592556401677,29.829545454545453,7,92.21521618905277
6.283185840707964,7.3,48.89418575018597,29.829545454545453,8,92.30691704543938
6.283185840707964,7.3,48.89108430965806,29.829545454545453,9,92.30691704543938
6.283185840707964,7.3,48.89108430965806,29.829545454545453,10,92.30381560491148
6.310679611650485,7.5,48.79103654816684,29.829545454545453,11,92.43126161436278
6.4,7.5,48.79103654816684,29.829545454545453,12,92.52519602360128
6.610169491525424,6.799999999999999,49.365268067476606,29.829545454545453,13,92.60498301354748
6.610169491525424,6.799999999999999,49.365268067476606,29.829545454545453,14,92.60498301354748
6.576576576576577,7.1,49.41152221487416,29.829545454545453,15,92.91764424599619
6.576576576576577,7.1,49.41152221487416,29.829545454545453,16,92.91764424599619
6.576576576576577,7.1,49.41152221487416,29.829545454545453,17,92.91764424599619
6.448598130841122,7.3,49.346217964147485,29.829545454545453,18,92.92436154953407
6.4,7.5,49.268985039779025,29.829545454545453,19,92.99853049432448
6.326530612244898,7.6,49.32134475194607,29.829545454545453,20,93.07742081873641
6.326530612244898,7.6,49.32134475194607,29.829545454545453,21,93.07742081873641
6.326530612244898,7.6,49.32134475194607,29.829545454545453,22,93.07742081873641
6.494845360824742,7.5,49.268985039779025,29.829545454545453,23,93.09337585514922
6.170212765957447,7.9,49.3764246887603,29.829545454545453,24,93.2761829092632
6.170212765957447,7.9,49.3764246887603,29.829545454545453,25,93.2761829092632
6.25,7.800000000000001,49.43963648313804,29.829545454545453,26,93.3191819376835
6.170212765957447,7.9,49.44469407364003,29.829545454545453,27,93.34445229414293
6.170212765957447,7.9,49.44469407364003,29.829545454545453,28,93.34445229414293
6.263736263736264,7.9,49.44469407364003,29.829545454545453,29,93.43797579192174
6.263736263736264,7.9,49.44469407364003,29.829545454545453,30,93.43797579192174
6.263736263736264,7.9,49.47574723771425,29.829545454545453,31,93.46902895599597
6.263736263736264,7.9,49.47574723771425,29.829545454545453,32,93.46902895599597
6.363636363636362,7.9,49.44197850695645,29.829545454545453,33,93.53516032513826
6.363636363636362,7.9,49.44197850695645,29.829545454545453,34,93.53516032513826
6.190476190476191,8.100000000000001,49.472326735594955,29.829545454545453,35,93.5923483806166
6.190476190476191,8.100000000000001,49.473508824505515,29.829545454545453,36,93.59353046952717
6.190476190476191,8.100000000000001,49.473508824505515,29.829545454545453,37,93.59353046952717
6.190476190476191,8.100000000000001,49.47451090040889,29.829545454545453,38,93.59453254543052
6.190476190476191,8.100000000000001,49.47451090040889,29.829545454545453,39,93.59453254543052
6.296296296296296,8.100000000000001,49.473508824505515,29.829545454545453,40,93.69935057534727
6.202531645569621,8.299999999999999,49.465791490992714,29.829545454545453,41,93.79786859110779
6.202531645569621,8.299999999999999,49.465791490992714,29.829545454545453,42,93.79786859110779
6.202531645569621,8.299999999999999,49.465791490992714,29.829545454545453,43,93.79786859110779
6.5,8.100000000000001,49.45299698780404,29.829545454545453,44,93.8825424423495
6.5,8.100000000000001,49.45299698780404,29.829545454545453,45,93.8825424423495
6.5,8.100000000000001,49.45299698780404,29.829545454545453,46,93.8825424423495
6.5,8.100000000000001,49.45299698780404,29.829545454545453,47,93.8825424423495
6.5,8.100000000000001,49.45299698780404,29.829545454545453,48,93.8825424423495
6.5,8.100000000000001,49.45299698780404,29.829545454545453,49,93.8825424423495
6.708860759493671,8.0,49.49099773573881,29.829545454545453,50,94.02940394977793
6.708860759493671,8.0,49.49099773573881,29.829545454545453,51,94.02940394977793
6.708860759493671,8.0,49.49099773573881,29.829545454545453,52,94.02940394977793
6.708860759493671,8.0,49.49099773573881,29.829545454545453,53,94.02940394977793
6.708860759493671,8.0,49.49099773573881,29.829545454545453,54,94.02940394977793
6.708860759493671,8.0,49.49099773573881,29.829545454545453,55,94.02940394977793
6.708860759493671,8.0,49.49099773573881,29.829545454545453,56,94.02940394977793
6.708860759493671,8.0,49.49099773573881,29.829545454545453,57,94.02940394977793
6.708860759493671,8.0,49.49099773573881,29.829545454545453,58,94.02940394977793
6.708860759493671,8.0,49.49300206436828,29.829545454545453,59,94.0314082784074
6.708860759493671,8.0,49.52734610134717,29.829545454545453,60,94.06575231538629
6.708860759493671,8.0,49.52734610134717,29.829545454545453,61,94.06575231538629
6.708860759493671,8.0,49.52734610134717,29.829545454545453,62,94.06575231538629
6.708860759493671,8.0,49.52734610134717,29.829545454545453,63,94.06575231538629
6.708860759493671,8.0,49.52734610134717,29.829545454545453,64,94.06575231538629
6.708860759493671,8.0,49.52734610134717,29.829545454545453,65,94.06575231538629
6.708860759493671,8.0,49.52734610134717,29.829545454545453,66,94.06575231538629
6.708860759493671,8.0,49.52734610134717,29.829545454545453,67,94.06575231538629
6.708860759493671,8.0,49.52734610134717,29.829545454545453,68,94.06575231538629
6.666666666666666,8.200000000000001,49.45070644570123,29.829545454545453,69,94.14691856691336
6.666666666666666,8.200000000000001,49.45070644570123,29.829545454545453,70,94.14691856691336
