simplicity,generalization,perc_fit_traces,average_trace_fitness,log_fitness,percentage_of_fitting_traces,precision,objective_fitness,f1_score,dataset,miner,time,ftr_fitness
0.818,0.968,79.731,0.986,0.985,79.731,0.985,96.342,0.985,2013-op,Genetic Miner,3.821847915649414,0.9881335334905997
0.793,0.958,40.376,0.988,0.988,40.376,0.978,95.395,0.983,2013-i,Genetic Miner,200.7980170249939,0.9823433481778837
0.778,0.953,66.106,0.986,0.981,66.106,0.981,95.511,0.981,2013-cp,Genetic Miner,12.294528007507324,0.9838683865185802
0.692,0.933,100.0,1.0,1.0,100.0,0.907,92.52,0.951,2013-op,Inductive Miner,0.013582944869995117,1.0
0.667,0.871,100.0,1.0,1.0,100.0,0.626,83.742,0.77,2013-i,Inductive Miner,0.24064207077026367,1.0
0.66,0.877,100.0,1.0,1.0,100.0,0.793,88.8,0.885,2013-cp,Inductive Miner,0.0188291072845459,1.0
