Event Log,0.01,0.05,0.1,0.2,0.5,1.0
BPI_Challenge_2013_closed_problems,0.3052,0.1575,0.1575,0.0384,0.0384,0
BPI_Challenge_2013_open_problems,0.3952,0.2347,0.0589,0.0589,0.0877,0
